0100BRA56565,DELETE
0100BRA46642,Deleted
0100BRA46637,Delete
049002579401,DELETED STOP
049002579801,DELETED STOP
049002579851,DELETED STOP
049003795834,DELETED
049003795835,DELETED
049003795839,DELETED
049003945860,DELETED
049004365846,DELETED
049004365847,DELETED
049004365862,DELETED
3890D000132,deleted stop
3890D000133,deleted stop
3890D000134,deleted stop
3890D000135,deleted stop
3890D000136,deleted stop
3890D000137,deleted stop
3890D000138,deleted stop
3890D000139,deleted stop
3890D000140,deleted stop
3890D000602,deleted stop
3890D000603,deleted stop
3890D000604,deleted stop
3890D000902,deleted stop
3890D002102,deleted stop
3890D002303,deleted stop
3890D008901,deleted stop
3890D011001,deleted stop
3890D011101,deleted stop
3890D011201,deleted stop
3890D011701,deleted stop
3890D026803,deleted stop
3890D026903,deleted stop
3890D032201,deleted stop
3890D046302,deleted stop
3890D064001,deleted stop
3890D064002,deleted stop
3890D110901,deleted stop
3890D110902,deleted stop
3890D111001,deleted stop
3890D111002,deleted stop
3890D111101,deleted stop
3890D111102,deleted stop
3890D112401,deleted stop
3890D112402,deleted stop
3890D122401,deleted stop
3890D122402,deleted stop
3890D122501,deleted stop
3890D122502,deleted stop
43000201901,Delete Stop
43000201902,Delete Stop
43000203301,Delete stop
43000203302,Delete stop
43000203303,Delete stop
43000204301,Delete
5710CBZ02482,Cherry Orchard Rd Deleted
5720AWA12336,Penarth Y C Deleted
5720AWA12379,Westbourne Rd Deleted
5720AWA12380,Westbourne Road Deleted
5720AWA12381,Westbourne Road Deleted
