ATCO Code,Stop Type
0100AVONMTH0,RSE
0100BDMNSTR0,RSE
0100BRSTLTM0,RSE
0100CLFDOWN0,RSE
0100LAWRNCH0,RSE
0100MONPELR0,RSE
0100PARSNST0,RSE
0100PATCHWY0,RSE
0100REDLAND0,RSE
0100SADWRD0,RSE
0100SEMILLS0,RSE
0100SHAMPTN0,RSE
0100STPLTNR0,RSE
0100ARN0,FTD
0100BCC0,FTD
0100BHB0,FTD
0100BRA0,FTD
0100BRC0,FTD
0100BRD0,FTD
0100BRE0,FTD
0100BRF0,FTD
0100BRG0,FTD
0100BRH0,FTD
0100BRL0,FTD
0100BRM0,FTD
0100BRN0,FTD
0100BRP0,FTD
0100BRQ0,FTD
0100BRR0,FTD
0100BRS0,FTD
0100BRT0,FTD
0100BRW0,FTD
0100GAS0,FTD
0100HNV0,FTD
0100OST0,FTD
0100STP0,FTD
0100WWH0,FTD
0170BRSTPWY0,RSE
0170FILTNEW0,RSE
0170PILNING0,RSE
0170SVRNBCH0,RSE
0170YATE0,RSE
0170ZZAVBIT0,TMU
0170ZZAVOLD0,TMU
0180BATHSPA0,RSE
0180BATHSPA1,RSE
0180FRESHFD0,RSE
0180KEYNSHM0,RSE
0180OLDFLDP0,RSE
0190NAILSEA0,RSE
0190WMILTON0,RSE
0190WORLE0,RSE
0190WSMARE0,RSE
0190YATTON0,RSE
0190BRS10,AIR
0190CLV0,FTD
0190PTD0,FTD
0190WSM0,FTD
020038031,TXR
0200BEDFDM0,RSE
0200BESJOHN0,RSE
0200BESJOHN1,RSE
0200KMPSTNH0,RSE
0200KMPSTNH1,RSE
0200STWRTBY0,RSE
0200STWRTBY1,RSE
020038038,TXR
020038039,TXR
020038040,TXR
020038033,TXR
020038032,TXR
020038034,TXR
020038035,TXR
020038036,TXR
020038037,TXR
0210ARLSEY0,RSE
0210ASPLEYG0,RSE
0210ASPLEYG1,RSE
0210BIGLSWD0,RSE
0210BIGLSWD1,RSE
0210FLITWCK0,RSE
0210FLITWCK1,RSE
0210HRLG0,RSE
0210LDLNGTN0,RSE
0210LDLNGTN1,RSE
0210LTNBZRD0,RSE
0210LTNBZRD1,RSE
0210MLBRKB0,RSE
0210MLBRKB1,RSE
0210RIDGMNT0,RSE
0210RIDGMNT1,RSE
0210SNDY0,RSE
0210SNDY1,RSE
021028152,TXR
0290LEAGRVE0,RSE
0290LEAGRVE1,RSE
0290LUTOAPY0,RSE
0290LUTON0,RSE
0290LUTON3,RSE
0290LTN11,AIR
030053290003,BCT
030055920001,TXR
030058390002,BCT
0300ALDMSTN0,RSE
0300ALDMSTN1,RSE
0300HUNGRFD0,RSE
0300HUNGRFD1,RSE
0300KNTBRY0,RSE
0300KNTBRY1,RSE
0300MIDGHAM0,RSE
0300MIDGHAM1,RSE
0300MTIMER0,RSE
0300NEWBRYR0,RSE
0300NEWBRYR1,RSE
0300NEWBRYR2,RSE
0300NEWBURY0,RSE
0300NEWBURY1,RSE
0300NEWBURY2,RSE
0300PANGBRN0,RSE
0300PANGBRN1,RSE
0300THATCHM0,RSE
0300THATCHM1,RSE
030054350003,TXR
030054350004,TXR
030058890001,BCT
030058950001,BCT
030058940001,BCT
030058910001,BCT
030058920001,BCT
030058930001,BCT
030059060001,TXR
030059040001,TXR
030059090001,BCT
030059090002,BCT
030059100001,BCT
030059100002,BCT
030059110001,BCT
030059110002,BCT
030055890003,TXR
030059050001,TXR
030054240001,TXR
030054230001,TXR
035059570001,BCT
035059570002,BCT
035059580001,BCT
035059580002,BCT
035059590001,BCT
035059590002,BCT
035059600001,BCT
035059600002,BCT
035059610001,BCT
035059610002,BCT
035059620001,BCT
035059620002,BCT
035086200004,BCT
035099850001,TXR
0350ERLY0,RSE
0350ERLY2,RSE
0350TWYFORD0,RSE
0350TWYFORD2,RSE
0350TWYFORD3,RSE
0350TWYFORD4,RSE
0350WARGRAV0,RSE
0350WARGRAV2,RSE
0350WINERSH0,RSE
0350WINERSH2,RSE
0350WINETGL0,RSE
0350WINETGL2,RSE
0350WOKNGHM1,RSE
0350WOKNGHM2,RSE
0350WOKNGHM3,RSE
035099890001,TXR
035099880001,TXR
035099870001,TXR
035099800001,TXR
035099820001,TXR
035080440002,BCT
036006001372,TXR
036006001391,TXR
036006001394,TXR
036006001414,TXR
036006001415,TXR
036006001416,TXR
036006002372,TXR
036006002391,TXR
036006002414,TXR
036006002415,TXR
036006002416,TXR
036006007289,TXR
0360ASCOT0,RSE
0360ASCOT1,RSE
0360COOKHAM0,RSE
0360DATCHET0,RSE
0360DATCHET1,RSE
0360DATCHET2,RSE
0360DATCHET3,RSE
0360FURZEP0,RSE
0360MDNHEAD0,RSE
0360MDNHEAD1,RSE
0360SUNNGDL0,RSE
0360SUNNGDL1,RSE
0360SUNYMDS0,RSE
0360WINDSEC0,RSE
0360WINDSEC1,RSE
0360WINDSEC2,RSE
0360WRYSBRY0,RSE
0360WRYSBRY1,RSE
0360WRYSBRY2,RSE
0360WSORAER0,RSE
0360WSORAER1,RSE
036000005390,BCT
036006729730,BCT
03700320,BCE
03700321,BCE
03700322,BCE
03700326,BCE
03700327,TXR
03700328,TXR
03700329,TXR
03700339,TXR
03700343,TXR
03700346,TXR
0370BNHAM0,RSE
0370LANGLEY0,RSE
0370LANGLEY1,RSE
0370SLOUGH0,RSE
0370SLOUGH1,RSE
03700545,BCT
037000000551,BCT
03700220,BCT
03700221,BCT
03700222,BCT
03700223,BCT
03700224,BCT
03700225,BCT
03700246,BCT
03700247,BCT
03709999,BCT
0380H252H211,TXR
0380D109L034,TXR
0380D375F984,BCT
0380E246F343,BCT
0380E266F354,BCT
0380E626I300,BCT
0380E627I308,BCT
0380I022G738,BCT
0380I022G745,BCT
0380I149G142,BCT
0380I586F015,BCT
0380BRACKNL0,RSE
0380BRACKNL1,RSE
0380CRWTHRN0,RSE
0380CRWTHRN1,RSE
0380MHERON0,RSE
0380MHERON1,RSE
0380SNDHRST0,RSE
0380SNDHRST1,RSE
0380E970J736,TXR
0380G493J835,TXR
0380F650H008,TXR
0380E391P305,TXR
0380F915J589,TXR
0380G051G136,TXR
0380F973G411,TXR
0380F856G395,TXR
0380G118G200,TXR
0380F958G043,TXR
0380E596I367,TXR
0380F765G378,TXR
0380F899G256,TXR
0380F903H983,TXR
0380C637O444,TXR
0380E108N191,TXR
0380D653O395,TXR
0380H030I078,TXR
0380F192H332,TXR
039026880001,TXR
039028650001,BCT
039028660001,BCT
039028670001,BCT
0390RDNG4AB0,RSE
0390RDNG4AB1,RSE
0390RDNG4AB2,RSE
0390RDNGSTN0,RSE
0390RDNGSTN1,RSE
0390RDNGSTN2,RSE
0390RDNG4AB3,RSE
0390RDNGSTN3,RSE
0390REDGWST0,RSE
0390REDGWST1,RSE
0390TILHRST0,RSE
039028590000,BCT
039026310002,BCT
039025300002,TXR
040000002999,BCT
0400AMERSHM0,RSE
0400AYLSBRY0,RSE
0400AYLSPWY0,RSE
0400BCNSFLD0,RSE
0400BCNSFLD1,RSE
0400BNHAM0,RSE
0400BORNEND0,RSE
0400CHDNGTN0,RSE
0400CHESHAM0,RSE
0400CHLFNAL0,RSE
0400CHLFNAL1,RSE
0400DENHAM0,RSE
0400DENHMGC0,RSE
0400DENHMGC1,RSE
0400GERRDSX0,RSE
0400GERRDSX1,RSE
0400GTMSNDN0,RSE
0400GTMSNDN1,RSE
0400HADMATP0,RSE
0400HADMATP1,RSE
0400HWYCOMB0,RSE
0400HWYCOMB1,RSE
0400IVER0,RSE
0400IVER1,RSE
0400LTLKMBL0,RSE
0400MARLOW0,RSE
0400MNKRISB0,RSE
0400PRINRIS0,RSE
0400SEERGRN0,RSE
0400STKM0,RSE
0400STKM1,RSE
0400SUNDRTN0,RSE
0400TAPLOW0,RSE
0400TAPLOW1,RSE
0400WENDOVR0,RSE
0400ZZLUAMS,TMU
0400ZZLUAMS0,TMU
0400ZZLUCAL,TMU
0400ZZLUCAL0,TMU
0400ZZLUCAL1,TMU
0400ZZLUCSM,TMU
0400ZZLUCSM0,TMU
0400ZZLUCSM1,TMU
040000005027,BCT
04000BHR9001,BCT
04000BHR9003,BCT
04000BHR9004,BCT
040000009000,BCT
04000BHR9005,BCT
04000BHR9006,BCT
04000BHR9007,BCT
04000BHR9008,BCT
04000BHR9009,BCT
04000BHR9010,BCT
04000BHR9011,BCT
04000BHR9012,BCT
04000BHR9013,BCT
04000BHR9014,BCT
04000BHR9015,BCT
04000BHR9016,BCT
04000BHR9017,BCT
04000BHR9018,BCT
04000BHR9019,BCT
04000BHR9020,BCT
0400000T9001,BCT
0400000T9002,BCT
040000007005,BCT
040000007006,BCT
040000007008,BCT
040000007009,BCT
04000SHR9023,BCT
04000SHR9024,BCT
04000SHR9025,BCT
04000SHR9026,BCT
040000007010,BCT
040000007011,BCT
04000HAR9003,BCT
04000HAR9004,BCT
0400000S4457,BCT
0400000S4458,BCT
04000000S290,BCT
04000000S291,BCT
04000HAR5039,BCT
0400000T6004,BCT
040000HAR330,BCT
040000000332,BCT
040000000333,BCT
040000000334,BCT
040000000335,BCT
040000000372,BCT
049002869321,BCT
0490BLTCHLY0,RSE
0490BOWBRKH0,RSE
0490BOWBRKH1,RSE
0490FSTR0,RSE
0490FSTR1,RSE
0490HLRDCLD1,BCT
0490HLRDCLD2,BCT
0490HLRDLAN3,BCT
0490HLRDLAN4,BCT
0490HLRDMCR1,BCT
0490HLRDMCR2,BCT
0490HLRDMDR1,BCT
0490HLRDMDR2,BCT
0490HLRDMGR1,BCT
0490HLRDMGR2,BCT
0490HLRDWBK1,BCT
0490HLRDWBK2,BCT
0490MKNSCEN0,RSE
0490WLVR0,RSE
0490WOBURNS0,RSE
0490WOBURNS1,RSE
049000005968,BCT
049000005969,BCT
049000005979,BCT
049000005106,BCT
0500FWIMB016,BCT
0500CCITY537,BCT
0500ASHWELC0,RSE
0500HWIST002,BCT
0500CBG0,AIR
0500CBG10,AIR
0500CAMBDGE0,RSE
0500CCITY105,BCT
0500CCITY147,BCT
0500CCITY010,BCT
0500SELSW006,BCT
0500SCAXT008,BCT
0500FCHAT020,BCT
0500FCHAT018,BCT
0500FCHAT022,BCT
0500FCHAT016,BCT
0500CCITY238,BCT
0500FELMM025,BCT
0500FELMM028,BCT
0500DULNGHM0,RSE
0500EDULL011,BCT
0500EDULL005,BCT
0500ELYY0,RSE
0500EELYY085,BCT
0500FLEVE013,BCT
0500FLEVE005,BCT
0500FOXTON0,RSE
0500FELMM027,BCT
0500FELMM024,BCT
0500SHEELFD0,RSE
0500SHELFD0,RSE
0500FPARS014,BCT
0500FPARS004,BCT
0500SBART001,BCT
0500SBART002,BCT
0500HRAMS026,BCT
0500HRAMS024,BCT
0500SBOUR021,BCT
0500SBOUR022,BCT
0500HBURY008,BCT
0500HBURY007,BCT
0500HBURY010,BCT
0500HBURY009,BCT
0500HBURY005,BCT
0500HBURY006,BCT
0500CCITY429,BCT
0500CCITY430,BCT
0500HWARB021,BCT
0500FCHAT025,BCT
0500FCHAT028,BCT
0500FCHRI010,BCT
0500FCHRI009,BCT
0500FCHRI007,BCT
0500FCHRI008,BCT
0500FELMM029,BCT
0500FELMM026,BCT
0500FCHAT021,BCT
0500FCHAT017,BCT
0500FDODD022,BCT
0500FDODD015,BCT
0500FDODD021,BCT
0500ELITD017,BCT
0500ELITD016,BCT
0500HPIDL003,BCT
0500HPIDL004,BCT
0500FNEWF007,BCT
0500FNEWF006,BCT
0500FNEWF013,BCT
0500FNEWF014,BCT
0500FNEWF002,BCT
0500FNEWF010,BCT
0500FELMM023,BCT
0500FELMM022,BCT
0500FGORE008,BCT
0500FGORE007,BCT
0500HUPWO016,BCT
0500HUPWO013,BCT
0500HHOUG016,BCT
0500HHOUG015,BCT
0500HGLAT003,BCT
0500HGLAT004,BCT
0500HHUNT093,BCT
0500HHUNT098,BCT
0500HKING001,BCT
0500HKING002,BCT
0500EKIRT012,BCT
0500EKIRT011,BCT
0500FLEVE026,BCT
0500FLEVE027,BCT
0500HABBR005,BCT
0500HABBR006,BCT
0500ELITP041,BCT
0500ELITP042,BCT
0500FWIMB022,BCT
0500FWIMB020,BCT
0500FMANE006,BCT
0500FMANE002,BCT
0500FMARC092,BCT
0500FMARC087,BCT
0500FMARC084,BCT
0500FMARC091,BCT
0500FPARS010,BCT
0500FPARS003,BCT
0500FPARS002,BCT
0500EWOOD017,BCT
0500EWOOD018,BCT
0500FNEWF012,BCT
0500FTYDD004,BCT
0500FNEWF005,BCT
0500FTYDD003,BCT
0500HBROU001,BCT
