NumberOfPositions,ATCOCode
0,3500B105302
3,030058840001
3,227000011215
3,227000011229
3,2700LDGC1811
4,030058950001
4,030058940001
4,030058910001
4,030058920001
4,07605862
4,07605863
4,07605864
4,077072855
4,077072856
4,077072858
4,077072859
4,078074107
4,1100FLX00003
4,1500FLX1497
4,1600FLX08
4,1600FLX54
4,1600FLX104
4,1600FLX106
4,1600FLX121
4,1900HAFLX006
4,227000011134
4,227000011135
4,227000011136
4,227000011137
4,227000011138
4,227000011139
4,227000011140
4,227000011141
4,227000011142
4,227000011143
4,227000011144
4,227000011145
4,227000011146
4,227000011147
4,227000011148
4,227000011149
4,227000011150
4,227000011151
4,227000011152
4,227000011153
4,227000011154
4,227000011155
4,227000011156
4,227000011157
4,227000011168
4,227000011169
4,227000011170
4,227000011171
4,227000011172
4,227000011173
4,227000011174
4,227000011175
4,227000011176
4,227000011177
4,227000011178
4,227000011179
4,227000011180
4,227000011181
4,227000011182
4,227000011183
4,227000011184
4,227000011186
4,227000011187
4,227000011188
4,227000011189
4,227000011190
4,227000011191
4,227000011192
4,227000011193
4,227000011194
4,227000011195
4,227000011196
4,227000011197
4,227000011198
4,227000011199
4,227000011200
4,227000011201
4,227000011202
4,227000011203
4,227000011204
4,227000011205
4,227000011206
4,227000011207
4,227000011208
4,227000011209
4,227000011210
4,227000011211
4,227000011212
4,227000011213
4,227000011214
4,227000011216
4,227000011217
4,227000011218
4,227000011219
4,227000011220
4,227000011221
4,227000011222
4,227000011223
4,227000011224
4,227000011225
4,227000011226
4,227000011227
4,227000011228
4,227000011230
4,227000011231
4,227000011232
4,227000011233
4,227000011234
4,227000011235
4,227000011236
4,227000011237
4,26000802F
4,270000008195
4,270000008196
4,270000008197
4,270000008709
4,270000008710
4,270000009069
4,270000009070
4,270000009072
4,270000009073
4,270000009074
4,270000009075
4,270000009082
4,270000009083
4,270000009085
4,270000009086
4,270000009087
4,270000009089
4,270000009091
4,270000009092
4,270000009094
4,270000009100
4,270000009107
4,270000009111
4,270000009117
4,270000009596
4,270000009656
4,270000009763
4,270000010161
4,270000010162
4,270000010543
4,270000010712
4,270000010757
4,270000010917
4,270000013659
4,270000014172
4,270000014450
4,270002700154
4,270002700155
4,270002700157
4,270002700158
4,270002700159
4,270002700160
4,270002700161
4,270002700162
4,270002700163
4,270002700164
4,270002700166
4,270002700167
4,270002700168
4,270002700169
4,270002700170
4,270002700171
4,270002700172
4,270002700173
4,270002700174
4,270002700175
4,270002700176
4,270002700177
4,270002700178
4,270002700179
4,270002700180
4,270002700181
4,270002700182
4,270002700183
4,270002700184
4,270002700185
4,270002700187
4,270002700189
4,270002700190
4,270002700191
4,270002700193
4,270002700194
4,270002700195
4,270002700196
4,270002700197
4,270002700198
4,270002700199
4,270002700200
4,270002700201
4,270002700202
4,270002700203
4,270002700204
4,270002700205
4,270002700206
4,270002700207
4,270002700208
4,270002700209
4,270002700210
4,270002700211
4,270002700212
4,270002700213
4,270002700214
4,270002700215
4,270002700216
4,270002700217
4,270002700218
4,270002700219
4,270002700220
4,270002700221
4,270002700222
4,270002700223
4,270002700224
4,270002700225
4,270002700226
4,270002700227
4,270002700471
4,270002700472
4,270002700473
4,270002700474
4,270002700475
4,270002700476
4,270002700477
4,270002700478
4,270002700479
4,270002700480
4,270002700481
4,270002700812
4,270002700813
4,270002700814
4,270002700815
4,270002700816
4,270002700817
4,270002700818
4,270002700819
4,270002700820
4,270002700822
4,270002700823
4,270002700824
4,270002700825
4,270002700826
4,270002700829
4,270002700830
4,270002700831
4,270002700832
4,270002700833
4,270002700834
4,270002700887
4,270002700933
4,270002700934
4,270002700935
4,270002700938
4,270002700939
4,270002700940
4,270002700941
4,270002700942
4,270002700943
4,270002700944
4,270002700945
4,270002700946
4,270002700947
4,270002700948
4,270002700949
4,270002700950
4,270002700951
4,270002700952
4,270002700953
4,270002700954
4,270002700955
4,270002700956
4,270002700957
4,270002700966
4,270002700967
4,270002700968
4,270002700969
4,270002700970
4,270002700971
4,270002700972
4,270002700973
4,270002700974
4,270002700975
4,270002700976
4,270002700977
4,270002700978
4,270002700979
4,270002700980
4,270002700982
4,270002700983
4,270002700984
4,270002700985
4,270002700986
4,270002700987
4,270002700988
4,270002700989
4,270002700990
4,270002700991
4,270002700992
4,270002700993
4,270002700994
4,270002700995
4,270002700996
4,270002700997
4,270002701087
4,270002701088
4,270002701226
4,270002701227
4,270002701228
4,270002701229
4,270002701230
4,270002701231
4,270002701232
4,270002701233
4,270002701234
4,270002701235
4,270002701236
4,270002701237
4,270002701238
4,270002701239
4,270002701240
4,270002701241
4,270002701242
4,270002701243
4,270002701244
4,270002701245
4,270002701246
4,270002701247
4,270002701248
4,270002701249
4,270002701250
4,270002701251
4,270002701252
4,270002701253
4,270002701254
4,270002701255
4,270002701256
4,270002701257
4,270002701258
4,270002701259
4,270002701260
4,270002701261
4,270002701262
4,270002701263
4,270002701264
4,270002701265
4,270002701266
4,270002701267
4,270002701268
4,270002701269
4,270002701270
4,270002701271
4,270002701272
4,270002701273
4,270002701274
4,270002701275
4,270002701276
4,270002701277
4,270002701278
4,270002701279
4,270002701280
4,270002701281
4,270002701282
4,270002701283
4,270002701284
4,270002701285
4,270002701286
4,270002701287
4,270002701288
4,270002701289
4,270002701290
4,270002701340
4,270002701341
4,270002701342
4,270002701343
4,270002701344
4,270002701345
4,270002701346
4,270002701347
4,270002701348
4,270002701349
4,270002701350
4,270002701351
4,270002701352
4,270002701353
4,270002701354
4,270002701355
4,270002701356
4,270002701357
4,270002701358
4,270002701359
4,270002701360
4,270002701361
4,270002701362
4,270002701363
4,270002701364
4,270002701365
4,270002701366
